bout_id,date,time,ring,category,agecat,weightcat,phase,poule,red,red_country,blue,blue_country,red_points,blue_points,winner_corner,winner,loser,decision,status,result_source
b101,2026-09-10,17:09,2,Senior Men Assaut -60kg,5,4,poule,B,Sim Cong Yu,Chinese Taipei,Robin Drigues,Canada,1,3,blue,Robin Drigues,Sim Cong Yu,points,decided,reported
b102,2026-09-10,17:09,3,Senior Women Assaut -48 kg,6,1,poule,C,NANDI Chloe,France,Sarah Pierre,Mauritius,3,1,red,NANDI Chloe,Sarah Pierre,points,decided,reported
b103,2026-09-10,17:22,1,Senior Men Assaut -70 kg,5,6,poule,B,Kamel Mayouf,Algeria,Mihajlo Dodić,Serbia,3,1,red,Kamel Mayouf,Mihajlo Dodić,points,decided,reported
b104,2026-09-10,17:22,2,Senior Men Assaut +85 kg,5,11,poule,C,Egor GOLOVCHENKO,Neutral Athlete,Sanan BABAZADE,Azerbaijan,3,,red,Egor GOLOVCHENKO,Sanan BABAZADE,disqualification,decided,reported
b105,2026-09-10,17:22,3,Senior Women Assaut -70 kg,6,6,poule,A,BUGADA Marine,France,MINET GWENAËLLE,Belgium,3,1,red,BUGADA Marine,MINET GWENAËLLE,points,decided,reported
b106,2026-09-10,17:35,1,Senior Men Assaut -70 kg,5,6,poule,C,Narek BABADZHANIAN,Neutral Athlete,Gadir BARKHUDARLI,Azerbaijan,3,,red,Narek BABADZHANIAN,Gadir BARKHUDARLI,disqualification,decided,reported
b107,2026-09-10,17:35,2,Senior Men Assaut -60kg,5,4,poule,C,Alen Nokaj,Croatia,Yasin IBRAHIMOV,Azerbaijan,1,3,blue,Yasin IBRAHIMOV,Alen Nokaj,points,decided,reported
b108,2026-09-10,17:35,3,Senior Women Assaut -56 kg,6,3,poule,C,KERRINCKX ELISABETH,Belgium,LOBJEOIS Gwendoline,France,1,3,blue,LOBJEOIS Gwendoline,KERRINCKX ELISABETH,points,decided,reported
b109,2026-09-10,17:48,1,Senior Men Assaut -80 kg,5,9,poule,D,Valentino Florjanić,Croatia,Lauri Ilves,Finland,3,1,red,Valentino Florjanić,Lauri Ilves,points,decided,reported
b110,2026-09-10,17:48,2,Senior Men Assaut -60kg,5,4,poule,D,Kenta FUNAYAMA,Japan,Sajjad Dareini,Iran,1,3,blue,Sajjad Dareini,Kenta FUNAYAMA,points,decided,reported
