date,time,ring,category,phase,red,blue,result,pending,winner_corner,red_points,blue_points,decision,agecat,weightcat,poule,seen_under
2026-09-10,17:09,3,Senior Women Assaut -48 kg,poule,NANDI Chloe,Sarah Pierre,3-1,False,red,3,1,points,6,1,C,France
2026-09-10,17:22,1,Senior Men Assaut -70 kg,poule,Kamel Mayouf,Mihajlo Dodić,3-1,False,red,3,1,points,5,6,B,Algeria
2026-09-10,17:22,2,Senior Men Assaut +85 kg,poule,Egor GOLOVCHENKO,Sanan BABAZADE,disqualification,False,red,3,,disqualification,5,11,C,Azerbaijan
2026-09-10,17:22,3,Senior Women Assaut -70 kg,poule,BUGADA Marine,MINET GWENAËLLE,3-1,False,red,3,1,points,6,6,A,Belgium
2026-09-10,17:35,1,Senior Men Assaut -70 kg,poule,Narek BABADZHANIAN,Gadir BARKHUDARLI,disqualification,False,red,3,,disqualification,5,6,C,Azerbaijan
2026-09-10,17:35,2,Senior Men Assaut -60kg,poule,Alen Nokaj,Yasin IBRAHIMOV,1-3,False,blue,1,3,points,5,4,C,Azerbaijan
2026-09-10,17:35,3,Senior Women Assaut -56 kg,poule,KERRINCKX ELISABETH,LOBJEOIS Gwendoline,1-3,False,blue,1,3,points,6,3,C,Belgium
2026-09-10,17:48,1,Senior Men Assaut -80 kg,poule,Valentino Florjanić,Lauri Ilves,3-1,False,red,3,1,points,5,9,D,Croatia
2026-09-10,17:48,2,Senior Men Assaut -60kg,poule,Kenta FUNAYAMA,Sajjad Dareini,1-3,False,blue,1,3,points,5,4,D,Iran
2026-09-10,17:48,3,Senior Women Assaut -70 kg,poule,HALILOU Haoua,KAABI Elissa,1-3,False,blue,1,3,points,6,6,A,Cameroon
2026-09-10,18:01,1,Senior Men Assaut -80 kg,poule,Jonathan Artback,Alexander Kaltenbacher,3-1,False,red,3,1,points,5,9,E,Germany
2026-09-10,18:01,2,Senior Men Assaut -60kg,poule,LAURENT Medhi,Howard Ríos,3-1,False,red,3,1,points,5,4,D,Colombia
2026-09-10,18:01,3,Senior Women Assaut -48 kg,poule,Aicha Ouennas,Lidia Abazovski,1-3,False,blue,1,3,points,6,1,A,Algeria
2026-09-10,18:14,1,Senior Men Assaut -70 kg,poule,Tommaso Mari,CHAN WAI YIP,3-1,False,red,3,1,points,5,6,D,"Hong Kong, China"
2026-09-10,18:14,2,Senior Women Assaut -56 kg,poule,Bukovinszky Luca,ELİF YALIM,3-1,False,red,3,1,points,6,3,A,Hungary
2026-09-10,18:14,3,Senior Women Assaut -48 kg,poule,Taeko SESHITA,Mahdis Delghandi,1-3,False,blue,1,3,points,6,1,B,Iran
2026-09-11,08:30,1,Senior Women Assaut -56 kg,poule,Rumi UMEDA,LOBJEOIS Gwendoline,1-3,False,blue,1,3,points,6,3,C,France
2026-09-11,08:30,2,Senior Women Assaut -70 kg,poule,Soraya Bouzidi,Selvi Aleyna GILO,3-1,False,red,3,1,points,6,6,B,Canada
2026-09-11,08:30,3,Senior Women Assaut -65 kg,poule,KURNOSENKO SOFIIA,ZÜMRA KERİM,3-1,False,red,3,1,points,6,5,A,Turkey
2026-09-11,08:43,1,Senior Men Assaut -56 kg,poule,Li Yu Hung,Liu KUBOTA,3-1,False,red,3,1,points,5,3,B,Chinese Taipei
2026-09-11,08:43,2,Senior Women Assaut +75 kg,poule,POCHET Lohane,ASYA DİLA AKSOY,3-1,False,red,3,1,points,6,8,A,France
2026-09-11,08:43,3,Senior Women Assaut -65 kg,poule,Anna Bosc,Gabriela Tsenkova,1-3,False,blue,1,3,points,6,5,B,Algeria
2026-09-11,08:56,1,Senior Men Assaut -56 kg,poule,Anthony Ghassiri,ALAKBAR KHANMAMMADOV,1-3,False,blue,1,3,points,5,3,B,Algeria
2026-09-11,08:56,2,Senior Women Assaut +75 kg,poule,TOUSSAINT MARGUERITE,Giada VITRANI,3-1,False,red,3,1,points,6,8,A,Belgium
2026-09-11,08:56,3,Senior Women Assaut -65 kg,poule,Riikka Holopainen,Jessica Diethold,3-1,False,red,3,1,points,6,5,C,Finland
2026-09-11,09:09,1,Senior Men Assaut -56 kg,poule,Abolfazl Dowlat Abadi,CAVROT-WESTERLINCK Ethan,disqualification,False,blue,,3,disqualification,5,3,C,France
2026-09-11,09:09,2,Senior Men Assaut -65 kg,poule,Rishav Sharma,Nour-Eddine Behhdadi,1-3,False,blue,1,3,points,5,5,C,Canada
2026-09-11,09:09,3,Senior Women Assaut -65 kg,poule,Mahdiyeh Alizadeh,LEMAIRE EMMA,1-3,False,blue,1,3,points,6,5,D,Belgium
2026-09-11,09:22,1,Senior Women Assaut -60kg,poule,ROUSSY Noa,Mirta Obelić,3-1,False,red,3,1,points,6,4,A,Croatia
2026-09-11,09:22,2,Senior Men Assaut -65 kg,poule,Nihat GULIYEV,Rony BAABAN A,3-1,False,red,3,1,points,5,5,D,Azerbaijan
2026-09-11,09:22,3,Senior Women Assaut -75 kg,poule,DJONDO Sara,Anastasiia GAVRICHENKO,3-1,False,red,3,1,points,6,7,A,France
2026-09-11,09:35,1,Senior Women Assaut -60kg,poule,Arijana Otašević,Maria BEN MOUSSA,1-3,False,blue,1,3,points,6,4,B,Algeria
2026-09-11,09:35,2,Senior Men Assaut -65 kg,poule,Hamzeh Moradian,DEL GIUDICE YANIS,3-1,False,red,3,1,points,5,5,E,Belgium
2026-09-11,09:35,3,Senior Women Assaut -75 kg,poule,Emily COLAUTTI,Chanistha JOSHI,1-3,False,blue,1,3,points,6,7,B,Mauritius
2026-09-11,09:48,1,Senior Women Assaut -60kg,poule,EYLÜL KORKMAZ,HEUNG TSZ YING,3-1,False,red,3,1,points,6,4,B,"Hong Kong, China"
2026-09-11,09:48,2,Senior Men Assaut -65 kg,poule,DESARME Pierre-Ley,SERIGNE FALLOU MBOUP,3-1,False,red,3,1,points,5,5,F,France
2026-09-11,10:01,1,Senior Women Assaut -70 kg,poule,BUGADA Marine,HALILOU Haoua,3-1,False,red,3,1,points,6,6,A,Cameroon
2026-09-11,10:01,2,Senior Women Assaut -52 kg,poule,Tóth-Csáki Fruzsina,Zarha Slimani,forfait,False,red,3,,forfait,6,2,A,Algeria
2026-09-11,10:14,1,Senior Women Assaut -70 kg,poule,Sofia MATNANE,Soraya Bouzidi,forfait,False,blue,,3,forfait,6,6,B,Canada
2026-09-11,10:14,2,Senior Women Assaut -52 kg,poule,Louisa Furniss,Stefania Aleksandrova,1-3,False,blue,1,3,points,6,2,B,Bulgaria
2026-09-11,10:14,3,Senior Women Assaut -65 kg,poule,Giulia RUDEZ,Gabriela Tsenkova,1-3,False,blue,1,3,points,6,5,B,Bulgaria
2026-09-11,10:27,1,Senior Women Assaut -70 kg,poule,Jessica NOMBREUSE,Selvi Aleyna GILO,3-1,False,red,3,1,points,6,6,B,Mauritius
2026-09-11,10:27,2,Senior Women Assaut -52 kg,poule,Kira TOROPOVA,Tajana Koščak,3-1,False,red,3,1,points,6,2,C,Croatia
2026-09-11,10:27,3,Senior Women Assaut -65 kg,poule,Giulia Triolo,Jessica Diethold,3-1,False,red,3,1,points,6,5,C,Germany
2026-09-11,10:40,1,Senior Men Assaut -56 kg,poule,Abolfazl Dowlat Abadi,Johan Felipe Caballos Peña,1-3,False,blue,1,3,points,5,3,C,Colombia
